Timestamp,Forex Buy Price,Cash Buy Price,Forex Sell Price,Cash Sell Price
2024-07-11 15:08:50,788.04,764.54,793.56,797.43
2024-07-11 15:08:56,788.04,764.54,793.56,797.43
2024-07-11 15:09:02,788.06,764.56,793.58,797.45
2024-07-11 15:09:09,788.06,764.56,793.58,797.45
2024-07-11 15:09:15,788.06,764.56,793.58,797.45
2024-07-11 15:09:21,788.06,764.56,793.58,797.45
2024-07-11 15:09:28,788.06,764.56,793.58,797.45
2024-07-11 15:09:34,788.06,764.56,793.58,797.45
2024-07-11 15:09:40,788.06,764.56,793.58,797.45
2024-07-11 15:09:47,788.06,764.56,793.58,797.45
2024-07-11 15:09:53,788.06,764.56,793.58,797.45
2024-07-11 15:10:00,787.82,764.33,793.33,797.21
2024-07-11 15:10:06,787.82,764.33,793.33,797.21
2024-07-11 15:10:12,787.82,764.33,793.33,797.21
2024-07-11 15:10:19,787.82,764.33,793.33,797.21
2024-07-11 15:10:25,787.82,764.33,793.33,797.21
2024-07-11 15:10:31,787.82,764.33,793.33,797.21
2024-07-11 15:10:38,787.82,764.33,793.33,797.21
2024-07-11 15:10:44,787.82,764.33,793.33,797.21
2024-07-11 15:10:50,787.82,764.33,793.33,797.21
2024-07-11 15:10:57,787.82,764.33,793.33,797.21
2024-07-11 15:11:03,787.82,764.33,793.33,797.21
2024-07-11 15:34:46,787.03,763.56,792.54,796.41
2024-07-11 15:35:28,787.46,763.98,792.97,796.84
2024-07-11 15:36:10,787.46,763.98,792.97,796.84
2024-07-11 15:36:51,787.46,763.98,792.97,796.84
2024-07-11 15:37:33,787.17,763.7,792.68,796.55
2024-07-11 15:38:27,787.17,763.7,792.68,796.55
2024-07-11 15:52:40,787.32,763.84,792.83,796.7
2024-07-11 15:54:39,787.32,763.84,792.83,796.7
2024-07-11 15:54:55,787.32,763.84,792.83,796.7
2024-07-11 16:02:48,787.75,764.26,793.26,797.14
2024-07-11 16:04:24,787.75,764.26,793.26,797.14
2024-07-11 16:07:05,787.75,764.26,793.26,797.14
2024-07-11 16:07:17,787.75,764.26,793.26,797.14
2024-07-11 16:07:29,787.75,764.26,793.26,797.14
2024-07-11 16:07:41,787.75,764.26,793.26,797.14
2024-07-11 16:08:04,787.75,764.26,793.26,797.14
2024-07-11 16:10:17,787.75,764.26,793.26,797.14
2024-07-11 16:13:09,787.35,763.87,792.86,796.73
2024-07-11 16:14:35,787.35,763.87,792.86,796.73
2024-07-11 16:14:50,787.35,763.87,792.86,796.73
2024-07-11 16:15:04,787.35,763.87,792.86,796.73
2024-07-11 16:15:18,787.35,763.87,792.86,796.73
2024-07-11 16:19:36,786.99,763.52,792.5,796.37
2024-07-11 16:19:48,786.99,763.52,792.5,796.37
2024-07-11 16:19:59,786.99,763.52,792.5,796.37
2024-07-11 16:20:10,786.9,763.44,792.41,796.28
2024-07-11 16:20:22,786.9,763.44,792.41,796.28
2024-07-11 16:20:33,786.9,763.44,792.41,796.28
2024-07-11 16:20:44,786.9,763.44,792.41,796.28
2024-07-11 16:20:56,786.9,763.44,792.41,796.28
2024-07-11 16:21:07,786.9,763.44,792.41,796.28
2024-07-11 16:21:18,786.9,763.44,792.41,796.28
2024-07-11 16:21:35,786.9,763.44,792.41,796.28
2024-07-11 16:21:46,786.9,763.44,792.41,796.28
2024-07-11 16:21:57,786.9,763.44,792.41,796.28
2024-07-11 16:22:09,786.9,763.44,792.41,796.28
2024-07-11 16:31:59,786.86,763.4,792.37,796.24
2024-07-11 16:36:23,787.04,763.57,792.55,796.42
2024-07-11 16:48:08,787.33,763.85,792.84,796.71
2024-07-11 16:56:26,787.48,764.0,792.99,796.86
2024-07-11 16:57:24,787.48,764.0,792.99,796.86
2024-07-11 17:10:56,786.97,763.5,792.48,796.35
2024-07-11 17:15:57,787.26,763.78,792.77,796.64
2024-07-11 17:20:59,786.75,763.29,792.26,796.13
